Time,Bezug (Wh),Energie - Eigenverbrauch (Wh),Exportieren (Wh),Produktion (Wh),Verbrauch (Wh)
01.01.2022,"485956","64744","98769","163501","550688"
01.02.2022,"336851","149819","278350","428169","486670"
01.03.2022,"296589","245811","887382","1133193","542400"
01.04.2022,"360511","347990","635122","983112","708501"
01.05.2022,"236243","379975","791630","1171605","616218"
01.06.2022,"226926","340646","929777","1270423","567572"
01.07.2022,"159627","278912","959229","1238141","438539"
01.08.2022,"176422","249169","858659","1107828","425591"
01.09.2022,"283689","276107","416709","692816","559796"
01.10.2022,"271150","261018","411259","672277","532168"
01.11.2022,"523602","186074","146041","332115","709676"
01.12.2022,"1523014","58842","41244","100079","1581849"
