Time,Bezug (Wh),Energie - Eigenverbrauch (Wh),Exportieren (Wh),Produktion (Wh),Verbrauch (Wh)
01.01.2023,"948536","78937","49194","128130","1027472"
01.02.2023,"472261","135089","296782","431871","607350"
01.03.2023,"503220","185024","423052","608076","688244"
01.04.2023,"384031","208785","491756","700541","592816"
01.05.2023,"355053","267084","789518","1056602","622137"
01.06.2023,"319449","309221","948795","1258016","628670"
01.07.2023,"350787","271894","823087","1094981","622681"
01.08.2023,"289056","302094","658176","960270","591150"
01.09.2023,"316523","287009","719209","1006218","603532"
01.10.2023,"429845","200455","405050","605505","630300"
01.11.2023,"294673","64283","78309","142592","358956"
01.12.2023,"0","0","0","0","0"
